Hours Worked,Deliveries Completed,Weekly Salary,Route Complexity,Weather Condition,Vehicle Type,Traffic Level,Day of the Week,Customer Satisfaction
41,11,1898,Suburban,Sunny,Truck,High,Weekday,68
54,19,2448,Suburban,Sunny,Truck,Medium,Weekend,71
46,20,2493,Suburban,Sunny,Truck,High,Weekend,66
56,25,2811,Urban,Sunny,Truck,High,Weekday,75
56,14,2269,Suburban,Sunny,Truck,Medium,Weekday,84
39,22,2571,Suburban,Rainy,Truck,Low,Weekday,75
57,22,2651,Urban,Sunny,Truck,Low,Weekday,91
57,17,2298,Urban,Sunny,Truck,Medium,Weekday,91
45,13,2162,Urban,Sunny,Truck,High,Weekday,86
44,26,2790,Urban,Rainy,Truck,Medium,Weekday,61
59,23,2586,Urban,Rainy,Truck,Medium,Weekday,76
59,15,2175,Urban,Sunny,Truck,Medium,Weekend,81
44,19,2399,Highway,Rainy,Truck,Medium,Weekday,74
59,17,2401,Highway,Sunny,Truck,Medium,Weekday,94
48,11,1968,Highway,Sunny,Truck,Low,Weekday,80
41,8,1799,Highway,Sunny,Truck,High,Weekday,87
52,13,2109,Highway,Sunny,Truck,Medium,Weekday,77
49,9,1949,Urban,Rainy,Truck,Low,Weekend,88
54,10,1924,Highway,Rainy,Truck,High,Weekend,71
32,14,2245,Suburban,Sunny,Truck,Low,Weekday,92
34,7,1796,Highway,Rainy,Truck,High,Weekday,76
48,12,2126,Highway,Sunny,Truck,High,Weekday,61
36,16,2323,Suburban,Sunny,Truck,High,Weekday,68
50,15,2176,Urban,Sunny,Truck,High,Weekend,86
38,17,2424,Highway,Sunny,Truck,Medium,Weekday,79
36,7,1708,Suburban,Sunny,Truck,High,Weekday,66
47,13,2157,Suburban,Sunny,Truck,Medium,Weekday,89
33,5,1719,Urban,Sunny,Truck,High,Weekday,90
54,11,1996,Urban,Sunny,Truck,High,Weekend,73
57,13,2158,Suburban,Rainy,Truck,High,Weekday,84
43,8,1889,Urban,Sunny,Truck,High,Weekend,82
47,11,2125,Urban,Snowy,Truck,Medium,Weekday,75
55,10,1877,Suburban,Sunny,Truck,High,Weekend,71
38,14,2242,Highway,Rainy,Truck,Medium,Weekday,79
55,12,2080,Urban,Rainy,Truck,High,Weekday,88
50,13,2203,Highway,Rainy,Truck,Medium,Weekend,85
31,12,2159,Suburban,Sunny,Truck,Medium,Weekday,77
49,23,2560,Urban,Rainy,Truck,Medium,Weekday,66
57,12,2137,Urban,Sunny,Truck,Medium,Weekday,91
44,17,2319,Highway,Sunny,Truck,High,Weekend,76
57,25,2726,Highway,Sunny,Truck,Medium,Weekday,90
36,6,1785,Urban,Sunny,Truck,Medium,Weekend,77
41,22,2652,Suburban,Sunny,Truck,Medium,Weekday,73
58,25,2700,Urban,Snowy,Truck,High,Weekday,84
37,6,1676,Highway,Rainy,Truck,Medium,Weekend,67
44,13,2084,Suburban,Sunny,Truck,Low,Weekday,74
32,12,1985,Highway,Snowy,Truck,Low,Weekend,65
43,16,2280,Suburban,Sunny,Truck,Low,Weekend,86
46,12,2145,Highway,Snowy,Truck,Medium,Weekday,57
33,9,1916,Urban,Sunny,Truck,Low,Weekday,99
47,16,2241,Highway,Sunny,Truck,Low,Weekday,77
37,11,1995,Suburban,Rainy,Truck,High,Weekend,69
33,11,2001,Urban,Rainy,Truck,High,Weekend,71
31,10,2066,Highway,Rainy,Truck,Medium,Weekday,88
59,17,2401,Urban,Snowy,Truck,High,Weekday,81
35,17,2273,Highway,Rainy,Truck,Low,Weekday,63
51,8,1878,Highway,Rainy,Truck,Medium,Weekend,57
39,11,1995,Suburban,Rainy,Truck,Medium,Weekday,71
33,16,2218,Urban,Rainy,Truck,Medium,Weekday,63
51,28,2867,Suburban,Sunny,Truck,Medium,Weekday,97
58,18,2385,Urban,Rainy,Truck,Medium,Weekend,67
47,19,2391,Urban,Sunny,Truck,Medium,Weekday,99
55,10,1872,Highway,Rainy,Truck,High,Weekday,63
41,15,2316,Highway,Rainy,Truck,Low,Weekday,90
31,12,2108,Suburban,Rainy,Truck,Low,Weekday,70
39,8,1786,Suburban,Rainy,Truck,Low,Weekend,81
59,14,2156,Highway,Rainy,Truck,Medium,Weekend,74
33,11,2113,Highway,Sunny,Truck,Medium,Weekday,75
43,8,1930,Urban,Rainy,Truck,Low,Weekday,59
45,11,1954,Suburban,Sunny,Truck,High,Weekday,69
44,12,2135,Highway,Sunny,Truck,Medium,Weekday,87
37,9,1886,Urban,Sunny,Truck,Low,Weekend,81
43,10,2022,Suburban,Sunny,Truck,Medium,Weekday,85
52,28,2869,Highway,Sunny,Truck,Low,Weekday,94
57,24,2768,Highway,Rainy,Truck,Medium,Weekday,63
54,25,2845,Urban,Sunny,Truck,Medium,Weekday,75
59,30,2912,Suburban,Sunny,Truck,Medium,Weekday,97
37,14,2148,Highway,Sunny,Truck,Low,Weekday,74
50,11,2009,Urban,Sunny,Truck,Medium,Weekday,72
45,14,2186,Urban,Rainy,Truck,Low,Weekend,70
42,18,2487,Urban,Sunny,Truck,Low,Weekday,84
47,23,2554,Urban,Sunny,Truck,Medium,Weekday,79
44,12,2133,Urban,Sunny,Truck,Medium,Weekend,95
50,12,2026,Urban,Sunny,Truck,Medium,Weekday,89
53,12,2123,Urban,Sunny,Truck,Medium,Weekend,88
55,18,2448,Urban,Sunny,Truck,Medium,Weekday,85
54,24,2607,Urban,Rainy,Truck,Low,Weekday,86
57,24,2799,Suburban,Rainy,Truck,Low,Weekday,68
57,15,2159,Highway,Sunny,Truck,High,Weekday,66
57,33,3116,Suburban,Snowy,Truck,Medium,Weekday,59
42,14,2108,Suburban,Sunny,Truck,High,Weekend,79
38,11,2074,Highway,Sunny,Truck,Medium,Weekday,76
58,13,2107,Urban,Snowy,Truck,Medium,Weekday,82
44,11,1952,Urban,Sunny,Truck,Medium,Weekday,98
42,12,2085,Highway,Snowy,Truck,Medium,Weekday,65
30,7,1819,Urban,Sunny,Truck,Medium,Weekday,83
54,14,2229,Highway,Sunny,Truck,Medium,Weekday,71
36,8,1908,Highway,Sunny,Truck,Medium,Weekend,79
38,8,1710,Suburban,Rainy,Truck,Medium,Weekend,82
53,23,2655,Highway,Rainy,Truck,High,Weekday,82
30,4,1560,Suburban,Rainy,Truck,High,Weekday,73
41,12,2067,Urban,Sunny,Truck,Medium,Weekend,85
37,10,1871,Suburban,Sunny,Truck,Medium,Weekend,88
53,31,3065,Urban,Sunny,Truck,Low,Weekday,87
40,7,1671,Highway,Sunny,Truck,Medium,Weekend,78
48,17,2399,Urban,Snowy,Truck,Medium,Weekday,80
46,21,2513,Highway,Sunny,Truck,High,Weekend,75
37,20,2585,Urban,Rainy,Truck,Medium,Weekday,69
32,16,2235,Suburban,Rainy,Truck,Medium,Weekday,85
32,7,1841,Highway,Sunny,Truck,Medium,Weekend,89
30,6,1688,Urban,Rainy,Truck,High,Weekday,77
56,26,2730,Suburban,Sunny,Truck,Medium,Weekday,81
34,19,2396,Suburban,Sunny,Truck,Medium,Weekday,94
39,12,2028,Urban,Sunny,Truck,High,Weekend,75
36,12,2029,Highway,Sunny,Truck,Low,Weekend,76
55,13,2195,Urban,Sunny,Truck,High,Weekend,78
38,19,2507,Highway,Sunny,Truck,Low,Weekday,84
57,12,2043,Suburban,Sunny,Truck,High,Weekend,77
36,11,2004,Suburban,Sunny,Truck,Medium,Weekday,96
38,14,2243,Suburban,Rainy,Truck,Medium,Weekday,69
37,11,1899,Suburban,Rainy,Truck,High,Weekend,70
41,12,2144,Highway,Sunny,Truck,Low,Weekday,73
31,7,1893,Suburban,Sunny,Truck,Medium,Weekday,88
30,13,2189,Suburban,Rainy,Truck,Medium,Weekday,76
45,14,2235,Highway,Sunny,Truck,Medium,Weekday,97
52,17,2251,Suburban,Rainy,Truck,Medium,Weekend,76
52,13,2193,Highway,Sunny,Truck,Low,Weekday,96
59,18,2321,Urban,Sunny,Truck,Low,Weekend,84
53,21,2472,Suburban,Sunny,Truck,Low,Weekday,83
34,7,1841,Urban,Sunny,Truck,Low,Weekday,70
32,10,2014,Highway,Rainy,Truck,Medium,Weekday,77
41,8,1802,Urban,Sunny,Truck,High,Weekend,70
37,6,1725,Urban,Rainy,Truck,High,Weekday,80
51,24,2613,Suburban,Rainy,Truck,High,Weekend,89
56,18,2403,Urban,Sunny,Truck,Low,Weekday,91
32,16,2307,Urban,Rainy,Truck,Medium,Weekday,65
30,9,1914,Suburban,Sunny,Truck,Low,Weekday,74
32,12,2043,Urban,Sunny,Truck,Medium,Weekend,78
34,13,2051,Urban,Rainy,Truck,Medium,Weekend,75
44,19,2498,Urban,Sunny,Truck,Low,Weekday,80
43,16,2283,Suburban,Sunny,Truck,Medium,Weekday,85
32,8,1932,Urban,Sunny,Truck,High,Weekday,61
30,8,1844,Urban,Sunny,Truck,Medium,Weekend,81
34,19,2549,Highway,Rainy,Truck,Medium,Weekday,77
55,23,2592,Highway,Rainy,Truck,Low,Weekend,66
52,24,2754,Highway,Rainy,Truck,Medium,Weekend,74
43,8,1723,Highway,Rainy,Truck,High,Weekday,82
36,13,2058,Urban,Sunny,Truck,Low,Weekend,77
56,32,3141,Suburban,Sunny,Truck,Medium,Weekday,81
38,10,1935,Urban,Sunny,Truck,Low,Weekday,98
44,9,2000,Suburban,Sunny,Truck,Medium,Weekday,96
44,21,2563,Suburban,Sunny,Truck,Low,Weekday,99
55,18,2353,Suburban,Snowy,Truck,High,Weekend,57
39,16,2253,Urban,Sunny,Truck,High,Weekday,67
57,11,1965,Urban,Sunny,Truck,High,Weekday,78
42,21,2451,Urban,Sunny,Truck,Medium,Weekday,71
48,10,2017,Highway,Rainy,Truck,High,Weekday,93
36,9,1924,Urban,Rainy,Truck,Medium,Weekday,59
46,12,2066,Suburban,Sunny,Truck,Medium,Weekday,79
49,25,2829,Suburban,Sunny,Truck,Medium,Weekday,71
58,21,2645,Highway,Rainy,Truck,Low,Weekend,72
33,10,1980,Urban,Sunny,Truck,Low,Weekend,92
59,16,2297,Suburban,Sunny,Truck,High,Weekday,72
34,14,2245,Highway,Rainy,Truck,Medium,Weekend,66
52,18,2354,Urban,Rainy,Truck,Medium,Weekday,83
36,18,2305,Suburban,Sunny,Truck,Medium,Weekday,97
42,12,2080,Urban,Rainy,Truck,High,Weekday,56
44,12,2069,Highway,Rainy,Truck,High,Weekday,73
40,12,2088,Urban,Sunny,Truck,High,Weekday,62
58,14,2197,Suburban,Snowy,Truck,Medium,Weekend,75
33,16,2285,Urban,Rainy,Truck,Low,Weekday,72
42,12,2033,Highway,Rainy,Truck,Medium,Weekend,76
36,10,2000,Urban,Rainy,Truck,Low,Weekday,77
56,24,2664,Urban,Sunny,Truck,Low,Weekend,96
48,16,2248,Urban,Sunny,Truck,Medium,Weekday,70
51,21,2491,Suburban,Sunny,Truck,Medium,Weekday,80
57,25,2848,Highway,Sunny,Truck,High,Weekday,75
31,13,2131,Suburban,Sunny,Truck,Medium,Weekday,70
39,9,2022,Highway,Rainy,Truck,Medium,Weekday,89
42,19,2370,Urban,Rainy,Truck,Low,Weekend,69
59,20,2571,Highway,Rainy,Truck,High,Weekday,69
54,14,2211,Urban,Rainy,Truck,High,Weekend,81
50,9,1919,Urban,Rainy,Truck,High,Weekday,90
35,14,2129,Urban,Sunny,Truck,High,Weekend,72
57,25,2729,Highway,Sunny,Truck,Medium,Weekday,94
57,23,2556,Urban,Sunny,Truck,Medium,Weekday,79
41,17,2411,Highway,Rainy,Truck,Medium,Weekend,60
41,21,2463,Suburban,Sunny,Truck,Medium,Weekday,78
49,12,2072,Suburban,Rainy,Truck,Medium,Weekday,88
59,19,2492,Urban,Sunny,Truck,Medium,Weekday,92
59,13,2158,Urban,Rainy,Truck,High,Weekday,67
40,15,2260,Urban,Rainy,Truck,High,Weekday,81
55,8,1813,Highway,Rainy,Truck,High,Weekend,62
52,17,2331,Urban,Snowy,Truck,High,Weekday,77
57,28,2929,Suburban,Rainy,Truck,Medium,Weekday,85
54,29,3012,Urban,Snowy,Truck,Low,Weekday,78
36,12,2019,Highway,Snowy,Truck,Low,Weekday,75
59,31,2959,Suburban,Rainy,Truck,Medium,Weekday,75
30,5,1596,Urban,Rainy,Truck,High,Weekend,85
30,16,2393,Suburban,Sunny,Truck,Low,Weekday,72
54,10,1866,Urban,Sunny,Truck,High,Weekend,91
56,20,2453,Urban,Sunny,Truck,Low,Weekday,99
59,30,2932,Highway,Sunny,Truck,Medium,Weekday,92
54,14,2263,Highway,Sunny,Truck,Medium,Weekday,83
49,14,2194,Suburban,Snowy,Truck,Low,Weekday,84
42,20,2413,Highway,Rainy,Truck,Low,Weekday,61
38,18,2364,Suburban,Rainy,Truck,Medium,Weekday,78
32,11,1988,Urban,Sunny,Truck,High,Weekend,83
36,17,2329,Highway,Sunny,Truck,Medium,Weekday,80
35,11,1937,Highway,Sunny,Truck,Medium,Weekend,85
37,11,2074,Highway,Sunny,Truck,Medium,Weekday,77
56,14,2231,Suburban,Sunny,Truck,Low,Weekend,76
38,8,1827,Urban,Sunny,Truck,High,Weekend,67
59,33,3218,Urban,Snowy,Truck,Low,Weekday,66
34,11,2009,Urban,Rainy,Truck,High,Weekend,77
30,10,1924,Highway,Sunny,Truck,Medium,Weekday,83
48,14,2196,Urban,Sunny,Truck,High,Weekend,70
39,22,2616,Highway,Sunny,Truck,Low,Weekday,77
41,10,2035,Suburban,Sunny,Truck,Medium,Weekday,91
53,18,2428,Urban,Snowy,Truck,Low,Weekend,66
44,17,2445,Urban,Sunny,Truck,Low,Weekday,96
56,24,2624,Urban,Sunny,Truck,Medium,Weekday,97
51,8,1780,Urban,Sunny,Truck,Medium,Weekend,77
53,29,2917,Suburban,Sunny,Truck,Medium,Weekday,71
38,21,2622,Urban,Rainy,Truck,Low,Weekday,76
49,20,2587,Highway,Rainy,Truck,Medium,Weekday,71
46,17,2259,Urban,Rainy,Truck,High,Weekday,72
59,26,2772,Highway,Sunny,Truck,Medium,Weekend,70
46,22,2627,Highway,Sunny,Truck,Medium,Weekday,84
55,14,2195,Suburban,Sunny,Truck,Medium,Weekday,83
49,16,2286,Suburban,Rainy,Truck,High,Weekday,76
41,14,2196,Suburban,Sunny,Truck,Medium,Weekend,91
59,21,2480,Urban,Sunny,Truck,Medium,Weekday,85
36,13,2094,Urban,Rainy,Truck,High,Weekday,91
31,13,2042,Highway,Rainy,Truck,High,Weekend,65
32,18,2445,Highway,Sunny,Truck,Medium,Weekday,70
46,17,2309,Suburban,Sunny,Truck,Medium,Weekday,97
34,6,1791,Urban,Sunny,Truck,High,Weekday,76
46,27,2883,Suburban,Rainy,Truck,Medium,Weekday,87
53,28,2959,Suburban,Sunny,Truck,Low,Weekday,82
46,11,2042,Highway,Snowy,Truck,Low,Weekday,76
56,24,2692,Urban,Sunny,Truck,High,Weekend,89
46,25,2779,Urban,Snowy,Truck,Medium,Weekday,76
31,9,1853,Highway,Rainy,Truck,High,Weekend,64
31,13,2200,Suburban,Sunny,Truck,Medium,Weekday,79
57,16,2187,Urban,Rainy,Truck,Medium,Weekend,65
51,8,1758,Highway,Sunny,Truck,Low,Weekend,93
52,17,2411,Urban,Snowy,Truck,Low,Weekday,82
34,13,2033,Suburban,Rainy,Truck,High,Weekday,88
30,4,1609,Highway,Sunny,Truck,High,Weekday,76
30,8,1826,Suburban,Rainy,Truck,Medium,Weekend,56
48,13,2137,Highway,Snowy,Truck,Medium,Weekend,84
59,24,2610,Suburban,Sunny,Truck,Medium,Weekday,94
31,17,2427,Suburban,Sunny,Truck,Medium,Weekday,84
50,16,2358,Urban,Rainy,Truck,Medium,Weekday,74
41,10,1894,Urban,Rainy,Truck,Low,Weekend,65
55,27,2832,Suburban,Sunny,Truck,Medium,Weekday,79
35,10,1967,Urban,Sunny,Truck,High,Weekday,72
52,12,2023,Suburban,Sunny,Truck,High,Weekday,77
33,12,2148,Highway,Sunny,Truck,Low,Weekday,78
52,10,1909,Suburban,Sunny,Truck,High,Weekend,60
40,10,2055,Suburban,Snowy,Truck,Medium,Weekday,66
53,21,2639,Suburban,Sunny,Truck,Medium,Weekday,81
56,20,2514,Highway,Rainy,Truck,Low,Weekday,70
46,26,2706,Urban,Sunny,Truck,Medium,Weekday,94
35,12,2079,Urban,Sunny,Truck,Medium,Weekday,86
53,17,2378,Urban,Sunny,Truck,Medium,Weekend,86
34,12,2021,Urban,Sunny,Truck,High,Weekend,88
49,8,1712,Highway,Rainy,Truck,High,Weekday,73
31,14,2103,Suburban,Snowy,Truck,Medium,Weekday,89
35,7,1756,Urban,Rainy,Truck,High,Weekend,82
51,29,2889,Highway,Snowy,Truck,Medium,Weekday,65
40,10,1916,Urban,Rainy,Truck,Medium,Weekday,68
45,12,2070,Urban,Sunny,Truck,Medium,Weekend,90
45,8,1801,Highway,Rainy,Truck,Low,Weekend,86
30,13,2135,Suburban,Rainy,Truck,Medium,Weekend,77
38,12,1980,Suburban,Sunny,Truck,Medium,Weekend,76
57,19,2385,Urban,Rainy,Truck,Low,Weekend,80
56,9,1946,Highway,Sunny,Truck,High,Weekday,71
35,17,2373,Suburban,Sunny,Truck,Medium,Weekday,70
45,12,2165,Urban,Rainy,Truck,Medium,Weekday,79
58,32,3177,Urban,Sunny,Truck,Low,Weekday,91
32,9,1912,Urban,Sunny,Truck,Medium,Weekday,73
49,13,2165,Urban,Snowy,Truck,Medium,Weekday,92
57,9,1971,Urban,Rainy,Truck,High,Weekday,85
56,21,2511,Urban,Sunny,Truck,Medium,Weekday,81
33,14,2106,Urban,Rainy,Truck,Low,Weekday,80
48,10,2054,Suburban,Sunny,Truck,Medium,Weekday,72
55,28,2891,Urban,Sunny,Truck,Low,Weekday,82
32,9,1811,Suburban,Snowy,Truck,Medium,Weekend,82
48,19,2548,Suburban,Rainy,Truck,Medium,Weekday,61
49,14,2146,Urban,Sunny,Truck,High,Weekday,69
36,9,1918,Urban,Rainy,Truck,Low,Weekend,84
49,20,2582,Urban,Rainy,Truck,Medium,Weekday,63
38,9,1979,Urban,Sunny,Truck,Low,Weekday,89
30,8,1861,Suburban,Sunny,Truck,Medium,Weekday,85
37,20,2548,Urban,Sunny,Truck,Medium,Weekday,76
36,16,2230,Suburban,Rainy,Truck,High,Weekend,83
47,16,2348,Highway,Rainy,Truck,Medium,Weekday,84
37,11,2087,Highway,Rainy,Truck,Low,Weekday,69
30,13,2107,Urban,Snowy,Truck,Medium,Weekday,88
40,14,2219,Highway,Rainy,Truck,Low,Weekday,63
57,11,2116,Highway,Sunny,Truck,Low,Weekday,95
54,14,2232,Urban,Sunny,Truck,Medium,Weekday,98
54,26,2764,Highway,Sunny,Truck,Low,Weekday,96
47,21,2462,Highway,Sunny,Truck,Low,Weekday,76
52,8,1872,Suburban,Rainy,Truck,High,Weekday,74
59,17,2331,Highway,Rainy,Truck,Medium,Weekday,71
39,11,2122,Suburban,Sunny,Truck,Low,Weekday,96
32,12,2078,Suburban,Sunny,Truck,Medium,Weekend,92
36,7,1913,Suburban,Rainy,Truck,Medium,Weekday,66
57,13,2237,Highway,Sunny,Truck,Medium,Weekday,79
45,23,2688,Suburban,Sunny,Truck,Medium,Weekday,99
55,14,2290,Urban,Sunny,Truck,Low,Weekday,85
45,16,2293,Urban,Sunny,Truck,Medium,Weekend,95
54,15,2201,Urban,Snowy,Truck,Medium,Weekday,64
49,8,1918,Suburban,Sunny,Truck,Medium,Weekend,78
57,12,2084,Urban,Sunny,Truck,High,Weekday,66
46,17,2272,Suburban,Sunny,Truck,Medium,Weekend,71
31,16,2395,Urban,Snowy,Truck,Medium,Weekday,71
30,12,1964,Suburban,Sunny,Truck,Medium,Weekend,82
45,16,2251,Suburban,Sunny,Truck,Medium,Weekday,92
59,27,2861,Highway,Sunny,Truck,Low,Weekday,92
41,11,2031,Suburban,Sunny,Truck,Low,Weekday,73
34,8,1871,Highway,Sunny,Truck,High,Weekday,80
34,14,2210,Highway,Rainy,Truck,Medium,Weekend,81
56,11,2115,Highway,Sunny,Truck,Medium,Weekday,81
52,12,2041,Urban,Sunny,Truck,Medium,Weekday,86
38,10,1920,Urban,Rainy,Truck,Medium,Weekday,61
38,8,1841,Highway,Sunny,Truck,Low,Weekday,82
32,6,1746,Highway,Sunny,Truck,High,Weekday,85
48,20,2512,Suburban,Sunny,Truck,Low,Weekday,87
45,12,2073,Suburban,Snowy,Truck,High,Weekday,90
45,20,2556,Suburban,Sunny,Truck,High,Weekend,83
32,12,1994,Suburban,Rainy,Truck,High,Weekday,82
49,16,2319,Suburban,Rainy,Truck,Medium,Weekday,71
53,12,2102,Highway,Sunny,Truck,Low,Weekend,77
51,17,2418,Urban,Snowy,Truck,Medium,Weekday,76
53,23,2678,Suburban,Sunny,Truck,Medium,Weekday,70
30,9,1979,Highway,Sunny,Truck,Medium,Weekday,89
53,18,2348,Urban,Rainy,Truck,High,Weekday,68
49,17,2297,Highway,Rainy,Truck,Medium,Weekday,68
40,12,2005,Urban,Rainy,Truck,Medium,Weekend,68
46,17,2346,Urban,Sunny,Truck,Medium,Weekday,78
37,11,1959,Urban,Sunny,Truck,Medium,Weekday,92
33,15,2166,Urban,Rainy,Truck,Medium,Weekend,71
35,13,2193,Urban,Sunny,Truck,High,Weekend,72
37,9,1870,Highway,Sunny,Truck,Medium,Weekday,83
49,20,2454,Highway,Sunny,Truck,High,Weekday,89
59,18,2324,Suburban,Sunny,Truck,High,Weekday,81
32,13,2031,Urban,Rainy,Truck,High,Weekend,73
45,18,2462,Highway,Sunny,Truck,Low,Weekend,92
59,16,2384,Suburban,Snowy,Truck,High,Weekday,80
54,11,2126,Highway,Sunny,Truck,Medium,Weekday,82
32,9,1928,Urban,Rainy,Truck,Low,Weekday,68
54,17,2379,Highway,Sunny,Truck,Medium,Weekend,85
58,26,2887,Suburban,Sunny,Truck,Medium,Weekday,95
47,14,2186,Urban,Sunny,Truck,Low,Weekday,80
43,8,1788,Highway,Sunny,Truck,Low,Weekend,91
47,25,2822,Suburban,Sunny,Truck,Low,Weekday,74
31,14,2131,Urban,Snowy,Truck,High,Weekday,70
51,20,2559,Highway,Rainy,Truck,Low,Weekday,84
32,8,1971,Highway,Sunny,Truck,Medium,Weekday,80
45,13,2242,Highway,Sunny,Truck,Medium,Weekday,94
58,12,2086,Highway,Sunny,Truck,Medium,Weekday,88
38,16,2295,Urban,Sunny,Truck,High,Weekday,66
33,6,1626,Suburban,Rainy,Truck,Low,Weekend,74
30,12,2076,Urban,Snowy,Truck,Medium,Weekday,66
33,10,2099,Highway,Sunny,Truck,Medium,Weekday,76
30,9,1877,Highway,Sunny,Truck,High,Weekday,63
43,15,2152,Highway,Sunny,Truck,Medium,Weekend,72
50,20,2545,Urban,Rainy,Truck,High,Weekend,85
45,12,2108,Suburban,Sunny,Truck,Low,Weekday,82
49,10,2078,Highway,Rainy,Truck,Medium,Weekday,67
53,13,2201,Suburban,Rainy,Truck,Medium,Weekday,61
37,16,2295,Suburban,Sunny,Truck,High,Weekday,87
36,19,2366,Urban,Rainy,Truck,Low,Weekday,74
32,11,2008,Suburban,Sunny,Truck,Low,Weekend,91
46,16,2292,Urban,Rainy,Truck,Medium,Weekend,85
30,13,2070,Urban,Sunny,Truck,Low,Weekday,77
45,9,1851,Urban,Sunny,Truck,Low,Weekend,86
41,18,2437,Urban,Snowy,Truck,High,Weekend,78
56,20,2509,Highway,Rainy,Truck,Medium,Weekday,88
48,16,2338,Urban,Rainy,Truck,Medium,Weekday,63
51,16,2321,Highway,Sunny,Truck,High,Weekend,69
52,11,2092,Urban,Rainy,Truck,Medium,Weekday,76
51,10,1965,Highway,Sunny,Truck,Low,Weekend,79
43,16,2229,Suburban,Rainy,Truck,Medium,Weekend,76
59,13,2100,Suburban,Sunny,Truck,Medium,Weekday,85
35,12,2101,Urban,Snowy,Truck,Medium,Weekend,76
35,8,1713,Highway,Snowy,Truck,Medium,Weekend,93
42,14,2104,Suburban,Rainy,Truck,Low,Weekday,83
48,15,2243,Suburban,Sunny,Truck,Medium,Weekday,85
51,13,2110,Suburban,Sunny,Truck,High,Weekday,70
37,14,2076,Highway,Rainy,Truck,High,Weekday,86
56,13,2081,Urban,Sunny,Truck,High,Weekday,89
56,18,2418,Highway,Rainy,Truck,High,Weekday,73
31,12,2037,Highway,Sunny,Truck,Medium,Weekday,98
50,18,2394,Suburban,Sunny,Truck,High,Weekday,81
59,26,2844,Suburban,Snowy,Truck,Low,Weekend,86
30,11,1962,Urban,Rainy,Truck,Medium,Weekend,85
57,12,2101,Suburban,Sunny,Truck,Medium,Weekend,98
44,9,1953,Urban,Sunny,Truck,Low,Weekday,87
30,7,1801,Urban,Sunny,Truck,High,Weekend,77
34,11,1954,Urban,Rainy,Truck,High,Weekend,71
57,12,2193,Suburban,Sunny,Truck,Medium,Weekday,86
58,18,2454,Highway,Snowy,Truck,High,Weekday,71
45,19,2544,Suburban,Rainy,Truck,Low,Weekday,82
48,12,2023,Suburban,Sunny,Truck,Medium,Weekend,93
33,16,2235,Highway,Rainy,Truck,Medium,Weekday,80
32,7,1875,Urban,Sunny,Truck,Medium,Weekday,77
46,8,1770,Suburban,Sunny,Truck,High,Weekday,68
46,17,2319,Urban,Snowy,Truck,High,Weekday,63
41,12,2073,Suburban,Sunny,Truck,High,Weekday,78
57,27,2918,Suburban,Sunny,Truck,Medium,Weekday,98
59,17,2358,Urban,Sunny,Truck,High,Weekday,71
58,13,2131,Urban,Sunny,Truck,Low,Weekend,73
43,17,2420,Suburban,Sunny,Truck,High,Weekday,88
