ID,Hours Worked,Deliveries Completed,Weekly Salary,Route Complexity,Weather Condition,Vehicle Type,Traffic Level,Day of the Week,CUSTOMER_SATISFACTION,AVERAGE_SPEED,Miles Driven,FUEL_CONSUMPTION
23,53,12,2136,Suburban,Sunny,Truck,Medium,Weekday,91,44.41,2353.67,397.74
24,41,8,1769,Suburban,Snowy,Truck,Medium,Weekend,76,34.01,1394.36,217.32
25,59,34,3243,Urban,Rainy,Truck,Medium,Weekday,75,24.78,1461.83,300.25
26,35,11,1972,Highway,Rainy,Truck,Low,Weekend,76,54.28,1899.88,288.98
27,31,4,1626,Urban,Sunny,Truck,Medium,Weekend,86,28.9,895.9,168.1
28,57,13,2188,Suburban,Sunny,Truck,High,Weekday,81,37.55,2140.42,343.61
29,50,14,2220,Highway,Sunny,Truck,Low,Weekend,90,60.01,3000.72,479.8
30,30,14,2125,Urban,Sunny,Truck,Medium,Weekday,88,31.22,936.74,185.6
31,41,20,2437,Suburban,Rainy,Truck,Low,Weekday,70,40.35,1654.43,267.67
32,55,32,3162,Urban,Sunny,Truck,Low,Weekday,98,32.16,1768.89,318.57
33,51,12,2155,Urban,Sunny,Truck,High,Weekend,83,23.52,1199.32,211.45
34,58,24,2786,Urban,Rainy,Truck,Low,Weekday,63,25.9,1502.29,293.03
35,41,12,2106,Highway,Sunny,Truck,Medium,Weekend,89,62.68,2570.03,431.1
36,54,15,2271,Highway,Sunny,Truck,Medium,Weekend,91,59.65,3220.89,453.72
37,46,12,2102,Suburban,Rainy,Truck,Medium,Weekday,64,38.18,1756.07,310.94
38,56,26,2923,Highway,Sunny,Truck,High,Weekday,83,50.33,2818.55,434.18
39,56,30,3099,Urban,Sunny,Truck,Medium,Weekday,81,29.51,1652.46,307.95
40,39,12,1971,Urban,Sunny,Truck,Low,Weekend,82,30.24,1179.38,232.97
41,57,25,2828,Suburban,Sunny,Truck,Medium,Weekday,78,45.39,2587.29,429.43
42,57,16,2346,Suburban,Sunny,Truck,Medium,Weekday,98,45.25,2579.06,396.95
43,45,14,2128,Highway,Sunny,Truck,Medium,Weekend,80,61.64,2773.74,440.4
44,44,16,2361,Urban,Sunny,Truck,High,Weekday,65,25.09,1104.06,203.63
45,59,23,2742,Urban,Sunny,Truck,Low,Weekday,98,30.89,1822.76,350.98
46,59,28,2871,Urban,Sunny,Truck,High,Weekday,85,24.53,1447.41,244.53
47,44,15,2148,Urban,Rainy,Truck,Low,Weekend,86,26.6,1170.38,229.57
48,59,20,2540,Highway,Rainy,Truck,Low,Weekday,63,55.07,3249.11,534.01
49,48,24,2705,Suburban,Rainy,Truck,Medium,Weekday,75,36.97,1774.36,318.49
50,41,8,1863,Urban,Sunny,Truck,High,Weekday,67,24.0,984.08,187.22
51,52,18,2451,Urban,Sunny,Truck,Medium,Weekday,93,28.73,1494.04,273.78
52,49,16,2295,Urban,Rainy,Truck,Medium,Weekday,71,25.66,1257.14,225.24
53,54,16,2301,Highway,Rainy,Truck,Medium,Weekend,72,49.31,2662.84,398.49
54,32,12,2042,Urban,Rainy,Truck,High,Weekday,71,21.34,682.83,116.96
55,34,10,1878,Highway,Sunny,Truck,High,Weekend,89,48.26,1640.87,255.76
56,48,19,2426,Urban,Sunny,Truck,Medium,Weekend,81,30.09,1444.23,256.55
57,36,12,2031,Suburban,Rainy,Truck,High,Weekend,86,32.05,1153.63,201.62
58,50,16,2318,Suburban,Snowy,Truck,Medium,Weekday,87,33.74,1687.23,271.34
59,38,15,2250,Highway,Snowy,Truck,Medium,Weekend,73,45.8,1740.22,242.98
60,36,10,1973,Urban,Snowy,Truck,Low,Weekday,89,22.55,811.95,137.23
61,47,13,2106,Urban,Rainy,Truck,Low,Weekday,70,27.33,1284.64,227.45
62,33,10,1943,Urban,Rainy,Truck,High,Weekday,71,19.59,646.56,110.0
63,54,16,2278,Highway,Sunny,Truck,Medium,Weekday,79,61.68,3330.8,487.09
64,57,11,2100,Suburban,Rainy,Truck,Low,Weekday,85,41.68,2375.53,362.35
65,43,15,2146,Highway,Sunny,Truck,High,Weekend,70,47.11,2025.91,284.32
66,47,19,2406,Suburban,Sunny,Truck,Medium,Weekday,89,46.7,2194.97,397.07
67,55,20,2528,Urban,Rainy,Truck,Medium,Weekday,73,25.46,1400.06,260.62
68,38,22,2699,Suburban,Rainy,Truck,Medium,Weekday,68,38.52,1463.9,251.66
69,55,23,2552,Highway,Rainy,Truck,Medium,Weekday,86,50.55,2780.03,465.23
70,50,21,2486,Suburban,Sunny,Truck,Medium,Weekend,75,44.89,2244.72,376.61
71,31,5,1604,Highway,Sunny,Truck,High,Weekday,84,49.96,1548.75,252.41
72,49,20,2469,Suburban,Snowy,Truck,Medium,Weekday,67,35.26,1727.72,317.38
73,57,24,2716,Urban,Rainy,Truck,High,Weekday,73,20.29,1156.51,216.55
74,44,19,2528,Urban,Sunny,Truck,Medium,Weekday,98,30.04,1321.9,258.64
75,57,27,2853,Highway,Sunny,Truck,Medium,Weekday,82,57.7,3288.73,458.39
76,36,12,2028,Highway,Snowy,Truck,Low,Weekday,59,46.43,1671.34,238.33
77,41,7,1707,Urban,Sunny,Truck,Medium,Weekend,91,30.04,1231.63,209.01
78,58,17,2333,Urban,Sunny,Truck,High,Weekend,72,23.29,1350.6,232.38
79,37,13,2128,Urban,Sunny,Truck,Low,Weekday,95,31.74,1174.42,208.0
80,44,24,2716,Highway,Sunny,Truck,Medium,Weekday,71,61.11,2688.91,399.61
81,32,9,1993,Highway,Sunny,Truck,Low,Weekday,96,63.94,2046.23,339.54
82,43,20,2550,Suburban,Sunny,Truck,High,Weekday,72,35.79,1539.1,269.12
83,46,20,2553,Suburban,Sunny,Truck,High,Weekday,80,36.97,1700.6,271.97
84,33,9,1996,Urban,Sunny,Truck,Medium,Weekday,93,29.46,972.13,183.65
85,47,15,2216,Urban,Sunny,Truck,Low,Weekday,90,31.4,1475.95,283.22
86,37,16,2306,Suburban,Snowy,Truck,Medium,Weekend,70,32.97,1220.05,220.83
87,33,15,2232,Suburban,Rainy,Truck,High,Weekday,74,30.92,1020.26,186.04
88,31,8,1821,Highway,Sunny,Truck,High,Weekday,80,47.72,1479.18,237.92
89,59,19,2510,Suburban,Sunny,Truck,Low,Weekday,90,45.91,2708.89,423.17
90,35,11,1914,Urban,Sunny,Truck,High,Weekday,60,23.54,823.89,147.75
91,51,19,2448,Suburban,Rainy,Truck,Low,Weekend,80,39.28,2003.12,344.82
92,39,9,1807,Urban,Sunny,Truck,High,Weekday,71,24.99,974.46,197.82
93,33,12,2099,Urban,Snowy,Truck,High,Weekday,67,18.04,595.3,117.57
94,51,8,1864,Urban,Rainy,Truck,High,Weekday,60,20.71,1056.28,197.59
95,58,12,2048,Urban,Snowy,Truck,Medium,Weekday,78,23.48,1361.73,270.97
96,47,16,2290,Urban,Sunny,Truck,Medium,Weekday,87,29.05,1365.19,240.2
97,55,14,2181,Suburban,Rainy,Truck,High,Weekday,74,31.94,1756.53,276.78
98,41,13,2125,Urban,Rainy,Truck,Medium,Weekday,91,25.6,1049.64,209.6
99,31,9,1934,Highway,Sunny,Truck,Low,Weekend,97,65.24,2022.57,293.15
100,39,9,1892,Highway,Sunny,Truck,High,Weekday,89,46.41,1809.85,273.55
101,59,16,2375,Urban,Sunny,Truck,Medium,Weekday,98,29.32,1729.81,293.22
102,33,10,2048,Suburban,Sunny,Truck,Medium,Weekday,98,43.62,1439.58,226.88
103,43,20,2413,Suburban,Rainy,Truck,Low,Weekend,67,40.78,1753.48,287.35
104,45,12,2144,Urban,Rainy,Truck,Low,Weekend,73,25.81,1161.59,210.74
105,44,16,2356,Urban,Sunny,Truck,Medium,Weekday,77,30.88,1358.61,268.86
106,37,12,1981,Highway,Sunny,Truck,Medium,Weekend,91,58.5,2164.6,304.03
107,43,20,2420,Suburban,Snowy,Truck,Medium,Weekend,79,32.92,1415.76,233.2
108,52,12,1950,Highway,Sunny,Truck,Medium,Weekend,81,58.69,3051.71,455.63
109,57,20,2586,Urban,Sunny,Truck,Medium,Weekend,98,30.74,1752.13,319.65
110,54,20,2440,Urban,Sunny,Truck,High,Weekday,81,25.02,1350.98,261.9
111,59,20,2568,Suburban,Snowy,Truck,Medium,Weekend,75,35.13,2072.4,325.11
112,37,6,1790,Highway,Rainy,Truck,High,Weekend,67,39.17,1449.41,204.77
113,50,23,2623,Urban,Sunny,Truck,Low,Weekday,79,30.75,1537.58,297.35
114,45,8,1795,Urban,Sunny,Truck,High,Weekend,72,24.41,1098.6,205.84
115,42,18,2404,Urban,Sunny,Truck,Medium,Weekday,83,30.36,1274.94,252.29
116,47,18,2449,Highway,Sunny,Truck,Medium,Weekend,76,59.1,2777.71,444.09
117,44,12,2130,Urban,Rainy,Truck,Low,Weekday,89,27.75,1220.85,233.75
118,50,20,2564,Urban,Sunny,Truck,High,Weekday,65,23.11,1155.66,198.08
119,53,8,1893,Suburban,Sunny,Truck,High,Weekend,56,36.5,1934.53,314.49
120,55,23,2728,Highway,Sunny,Truck,High,Weekday,76,46.91,2580.09,384.17
121,54,20,2466,Highway,Sunny,Truck,Medium,Weekday,85,60.16,3248.8,451.87
122,57,16,2232,Suburban,Snowy,Truck,Low,Weekday,62,35.04,1997.21,314.54
123,57,11,1890,Suburban,Sunny,Truck,Medium,Weekend,89,47.16,2688.05,496.02
124,57,33,3124,Suburban,Sunny,Truck,Medium,Weekday,79,44.94,2561.59,461.61
125,42,7,1820,Suburban,Rainy,Truck,Low,Weekend,71,42.07,1767.13,310.17
126,38,8,1775,Highway,Sunny,Truck,Medium,Weekend,84,58.53,2224.14,350.75
127,58,19,2510,Highway,Sunny,Truck,Medium,Weekday,75,61.61,3573.24,507.49
128,44,15,2281,Highway,Sunny,Truck,High,Weekday,83,49.04,2157.84,310.2
129,42,17,2384,Suburban,Sunny,Truck,Low,Weekday,94,48.89,2053.49,368.37
130,30,7,1892,Urban,Snowy,Truck,Medium,Weekday,65,22.94,688.07,126.56
131,54,17,2275,Highway,Sunny,Truck,Medium,Weekday,75,61.09,3299.08,542.25
132,36,8,1834,Highway,Sunny,Truck,High,Weekday,75,48.77,1755.77,284.65
133,38,8,1824,Suburban,Rainy,Truck,High,Weekend,69,32.08,1219.2,214.25
134,53,15,2263,Suburban,Sunny,Truck,Medium,Weekend,93,43.78,2320.15,357.7
135,30,14,2126,Suburban,Snowy,Truck,Medium,Weekday,80,32.16,964.92,165.26
136,41,11,2084,Urban,Sunny,Truck,Medium,Weekday,95,30.53,1251.89,214.03
137,37,12,2128,Urban,Sunny,Truck,Medium,Weekday,94,29.02,1073.63,189.33
138,53,14,2088,Highway,Sunny,Truck,Medium,Weekend,89,61.08,3237.04,467.16
139,40,23,2628,Highway,Sunny,Truck,Medium,Weekday,89,58.92,2356.72,336.65
140,48,27,2907,Highway,Sunny,Truck,Low,Weekday,81,60.12,2885.91,475.7
141,46,18,2378,Highway,Sunny,Truck,High,Weekday,70,49.29,2267.56,323.23
142,37,10,1907,Urban,Sunny,Truck,Medium,Weekday,78,28.65,1060.23,206.56
143,32,7,1832,Suburban,Sunny,Truck,Medium,Weekday,82,43.76,1400.28,212.78
144,32,10,1902,Highway,Sunny,Truck,Medium,Weekday,73,59.02,1888.59,267.52
145,30,7,1713,Suburban,Sunny,Truck,High,Weekday,70,34.68,1040.34,157.72
146,56,22,2642,Urban,Sunny,Truck,Low,Weekday,70,32.8,1836.95,312.83
147,34,17,2285,Urban,Sunny,Truck,Medium,Weekday,77,30.37,1032.43,196.71
148,39,16,2209,Urban,Sunny,Truck,High,Weekday,62,24.9,971.14,165.24
149,36,15,2223,Urban,Rainy,Truck,Medium,Weekend,86,25.96,934.71,179.18
150,55,18,2341,Highway,Sunny,Truck,Medium,Weekday,90,62.95,3462.34,508.4
151,38,18,2349,Urban,Sunny,Truck,Low,Weekday,82,31.58,1200.01,208.91
152,57,14,2169,Suburban,Sunny,Truck,High,Weekday,70,34.39,1960.43,334.64
153,36,8,1945,Suburban,Sunny,Truck,Low,Weekday,99,45.65,1643.31,291.13
154,38,18,2349,Urban,Rainy,Truck,Medium,Weekday,63,25.73,977.57,167.78
155,37,7,1779,Suburban,Sunny,Truck,Medium,Weekday,70,44.31,1639.65,296.83
156,41,14,2138,Urban,Sunny,Truck,Medium,Weekday,98,28.84,1182.39,225.04
157,31,10,2015,Suburban,Sunny,Truck,Medium,Weekday,75,43.82,1358.47,224.59
158,30,11,2015,Urban,Snowy,Truck,Medium,Weekend,75,22.44,673.28,117.52
159,45,22,2558,Suburban,Sunny,Truck,Medium,Weekday,86,45.08,2028.68,314.88
160,52,16,2275,Suburban,Rainy,Truck,Medium,Weekday,71,39.91,2075.44,345.1
161,52,27,2921,Suburban,Sunny,Truck,Medium,Weekday,87,43.16,2244.22,368.63
162,59,18,2431,Highway,Sunny,Truck,Medium,Weekday,96,59.15,3489.66,493.79
163,53,20,2563,Urban,Sunny,Truck,Low,Weekday,99,31.52,1670.51,311.41
164,34,12,2022,Urban,Sunny,Truck,High,Weekday,66,23.07,784.44,143.57
165,32,12,2061,Highway,Sunny,Truck,High,Weekday,73,48.9,1564.85,262.37
166,41,24,2680,Urban,Sunny,Truck,Low,Weekday,96,31.55,1293.44,219.7
167,37,8,1753,Suburban,Sunny,Truck,Low,Weekend,96,47.06,1741.17,286.37
168,51,18,2354,Urban,Sunny,Truck,Low,Weekend,71,31.99,1631.57,288.99
169,56,19,2408,Highway,Sunny,Truck,High,Weekday,87,46.98,2630.96,419.8
170,32,14,2192,Urban,Sunny,Truck,High,Weekday,88,23.61,755.66,135.69
171,30,5,1593,Highway,Sunny,Truck,Medium,Weekend,97,57.98,1739.29,265.65
172,32,12,2073,Urban,Sunny,Truck,High,Weekend,66,24.06,769.82,154.54
173,34,11,1953,Urban,Sunny,Truck,High,Weekday,86,23.69,805.59,139.94
174,44,10,1858,Urban,Sunny,Truck,High,Weekday,76,23.42,1030.69,178.74
175,43,12,2108,Suburban,Rainy,Truck,High,Weekend,78,29.45,1266.42,231.25
176,32,8,1734,Highway,Sunny,Truck,High,Weekend,90,45.71,1462.77,226.59
177,30,12,2178,Suburban,Snowy,Truck,Medium,Weekday,70,32.72,981.45,171.05
178,34,18,2483,Suburban,Rainy,Truck,Low,Weekday,82,39.15,1331.04,221.12
179,55,18,2366,Highway,Rainy,Truck,High,Weekday,67,40.74,2240.73,340.27
180,52,23,2606,Suburban,Sunny,Truck,Medium,Weekday,77,43.83,2279.39,368.37
181,43,13,2123,Urban,Rainy,Truck,Medium,Weekend,58,26.31,1131.33,220.65
182,36,5,1620,Urban,Rainy,Truck,Low,Weekend,85,26.71,961.41,188.53
183,56,12,2135,Highway,Rainy,Truck,High,Weekday,82,41.31,2313.09,335.48
184,38,15,2315,Urban,Sunny,Truck,Medium,Weekday,71,29.12,1106.7,187.12
185,44,14,2183,Suburban,Rainy,Truck,Medium,Weekday,73,37.93,1668.88,255.35
186,44,8,1797,Highway,Rainy,Truck,Medium,Weekend,64,51.52,2267.06,324.54
187,55,17,2363,Highway,Sunny,Truck,High,Weekend,85,47.09,2590.12,429.61
188,39,12,2168,Highway,Rainy,Truck,Medium,Weekday,79,50.16,1956.42,312.83
189,57,13,2112,Urban,Sunny,Truck,Medium,Weekend,71,30.92,1762.57,314.48
190,42,16,2317,Suburban,Rainy,Truck,Low,Weekday,86,41.52,1743.7,302.99
191,48,9,1967,Urban,Rainy,Truck,Low,Weekend,82,26.86,1289.43,243.97
192,36,20,2492,Highway,Sunny,Truck,Medium,Weekday,97,62.38,2245.62,311.94
193,46,20,2444,Urban,Rainy,Truck,High,Weekday,63,20.88,960.61,193.94
194,49,18,2360,Urban,Rainy,Truck,High,Weekday,62,19.49,955.15,164.96
195,58,14,2183,Highway,Sunny,Truck,Medium,Weekday,78,60.36,3500.7,582.83
196,33,16,2393,Urban,Sunny,Truck,Medium,Weekday,75,30.59,1009.58,193.22
197,59,24,2748,Highway,Rainy,Truck,High,Weekend,69,40.97,2417.04,362.21
198,34,17,2409,Suburban,Sunny,Truck,Medium,Weekday,97,46.49,1580.79,271.26
199,52,12,2183,Urban,Sunny,Truck,Medium,Weekday,77,29.4,1528.93,259.42
200,36,12,1988,Suburban,Rainy,Truck,High,Weekday,60,29.27,1053.73,175.47
201,42,17,2400,Suburban,Snowy,Truck,High,Weekday,75,27.36,1149.15,182.97
202,44,14,2199,Suburban,Sunny,Truck,High,Weekday,67,36.83,1620.56,259.6
203,40,18,2485,Highway,Sunny,Truck,Medium,Weekday,88,61.59,2463.66,349.84
204,58,17,2355,Suburban,Sunny,Truck,High,Weekend,77,34.24,1985.91,308.53
205,33,10,1931,Suburban,Rainy,Truck,Low,Weekend,92,40.86,1348.34,226.25
206,42,8,1805,Suburban,Rainy,Truck,Medium,Weekday,73,36.42,1529.5,237.66
207,36,12,2129,Highway,Sunny,Truck,High,Weekday,64,49.32,1775.48,261.0
208,56,10,1860,Highway,Sunny,Truck,Medium,Weekend,96,61.22,3428.24,500.8
209,48,17,2321,Suburban,Sunny,Truck,Medium,Weekday,97,45.3,2174.56,387.77
210,51,12,2059,Highway,Rainy,Truck,High,Weekend,71,40.83,2082.12,332.42
211,57,18,2331,Highway,Sunny,Truck,High,Weekend,75,49.03,2794.85,408.14
212,31,7,1753,Urban,Rainy,Truck,Medium,Weekday,75,24.37,755.5,146.79
213,39,18,2319,Suburban,Sunny,Truck,Medium,Weekday,75,46.49,1813.3,302.82
214,42,16,2229,Urban,Rainy,Truck,High,Weekday,75,19.79,831.2,154.24
215,59,12,2085,Suburban,Sunny,Truck,High,Weekday,80,35.92,2119.28,373.06
216,54,10,2017,Urban,Rainy,Truck,High,Weekday,66,20.37,1100.15,201.06
217,50,12,2103,Highway,Snowy,Truck,Medium,Weekday,77,46.25,2312.35,345.95
218,35,15,2153,Urban,Snowy,Truck,Low,Weekend,67,22.9,801.49,160.32
219,57,18,2314,Urban,Snowy,Truck,Medium,Weekend,85,22.05,1256.82,238.41
220,57,22,2684,Urban,Sunny,Truck,Medium,Weekday,97,30.49,1737.89,330.71
221,41,9,1896,Urban,Sunny,Truck,Low,Weekday,88,31.23,1280.23,234.17
222,41,18,2312,Highway,Sunny,Truck,Low,Weekday,88,61.73,2531.05,365.28
223,49,20,2558,Highway,Sunny,Truck,Medium,Weekend,91,60.73,2975.7,498.94
224,59,24,2818,Urban,Sunny,Truck,Low,Weekend,70,30.2,1781.66,356.11
225,59,26,2794,Urban,Rainy,Truck,Medium,Weekday,63,26.24,1548.1,298.51
226,40,9,2042,Highway,Rainy,Truck,Medium,Weekday,65,51.13,2045.05,291.74
227,55,10,1858,Highway,Sunny,Truck,Medium,Weekend,82,58.24,3202.99,487.2
228,52,11,2068,Urban,Rainy,Truck,Medium,Weekday,76,25.27,1313.87,242.78
229,57,17,2414,Suburban,Sunny,Truck,Medium,Weekday,70,43.34,2470.37,419.34
230,54,13,2229,Urban,Rainy,Truck,Low,Weekday,85,27.09,1462.71,275.55
231,36,10,2016,Highway,Sunny,Truck,Medium,Weekday,82,61.02,2196.57,303.8
232,59,16,2168,Urban,Sunny,Truck,High,Weekday,71,23.77,1402.59,240.56
233,30,13,2133,Urban,Sunny,Truck,High,Weekday,89,23.62,708.46,125.53
234,30,10,1878,Urban,Rainy,Truck,Medium,Weekend,91,26.39,791.76,151.97
235,54,22,2558,Highway,Snowy,Truck,High,Weekday,74,36.27,1958.79,295.98
236,56,27,2844,Urban,Sunny,Truck,Medium,Weekday,97,30.5,1708.06,304.76
237,59,14,2173,Urban,Sunny,Truck,Medium,Weekday,78,28.88,1704.07,322.37
238,54,20,2592,Highway,Rainy,Truck,High,Weekend,58,41.67,2250.2,339.28
239,49,12,2035,Highway,Sunny,Truck,Medium,Weekend,92,59.67,2923.72,476.77
240,42,15,2160,Urban,Sunny,Truck,Medium,Weekend,77,29.6,1243.2,250.59
241,38,9,1845,Urban,Sunny,Truck,High,Weekday,62,25.03,951.16,188.7
242,32,15,2292,Suburban,Rainy,Truck,High,Weekend,92,29.24,935.52,148.34
243,36,8,1791,Urban,Sunny,Truck,High,Weekday,88,23.27,837.7,165.38
244,35,8,1762,Suburban,Sunny,Truck,High,Weekday,85,35.55,1244.26,191.14
245,37,21,2462,Highway,Sunny,Truck,Low,Weekday,95,61.89,2289.98,356.34
246,56,11,2118,Suburban,Snowy,Truck,Medium,Weekday,77,33.79,1892.02,337.69
247,38,18,2311,Urban,Sunny,Truck,Medium,Weekday,71,29.7,1128.7,196.25
248,59,28,2849,Urban,Rainy,Truck,Medium,Weekday,66,26.24,1547.87,289.15
249,34,18,2356,Highway,Sunny,Truck,Low,Weekday,85,64.69,2199.41,340.85
250,30,13,2184,Highway,Sunny,Truck,High,Weekend,64,49.31,1479.22,232.04
251,48,28,2918,Suburban,Snowy,Truck,Medium,Weekday,79,33.31,1598.84,275.82
252,39,8,1856,Highway,Sunny,Truck,Medium,Weekday,85,59.44,2318.32,340.14
253,41,16,2367,Highway,Rainy,Truck,Medium,Weekend,77,52.12,2137.1,321.19
254,53,24,2793,Highway,Snowy,Truck,Medium,Weekday,77,43.31,2295.37,350.05
255,44,16,2166,Highway,Rainy,Truck,High,Weekday,68,42.24,1858.38,284.59
256,56,14,2205,Urban,Sunny,Truck,Medium,Weekday,88,30.12,1686.93,336.49
257,51,23,2740,Urban,Rainy,Truck,Medium,Weekday,76,26.39,1345.83,233.89
258,53,31,3086,Highway,Rainy,Truck,Low,Weekday,78,55.12,2921.48,407.83
259,38,16,2373,Urban,Snowy,Truck,Medium,Weekend,77,22.22,844.26,147.43
260,49,18,2419,Suburban,Rainy,Truck,Low,Weekday,76,38.56,1889.55,318.02
261,46,7,1720,Suburban,Sunny,Truck,Low,Weekend,72,49.24,2264.97,344.92
262,59,20,2471,Urban,Rainy,Truck,Medium,Weekday,70,25.1,1481.12,267.92
263,46,19,2457,Urban,Sunny,Truck,Medium,Weekend,71,29.62,1362.58,239.22
264,55,20,2440,Highway,Sunny,Truck,High,Weekday,88,49.96,2747.99,397.2
265,49,18,2436,Urban,Rainy,Truck,Medium,Weekday,59,26.56,1301.65,231.43
266,41,9,1901,Suburban,Rainy,Truck,Medium,Weekday,64,37.34,1531.07,248.13
267,59,21,2511,Urban,Rainy,Truck,Low,Weekday,59,25.67,1514.79,297.69
268,36,13,2168,Urban,Rainy,Truck,Low,Weekday,89,25.44,915.81,176.87
269,31,17,2358,Urban,Sunny,Truck,Medium,Weekday,75,29.81,924.26,158.87
270,32,11,1896,Suburban,Sunny,Truck,High,Weekday,61,36.25,1159.9,206.54
271,46,14,2194,Suburban,Sunny,Truck,Low,Weekday,70,46.16,2123.58,380.41
272,34,13,2174,Suburban,Sunny,Truck,Medium,Weekday,72,43.92,1493.24,260.1
273,46,8,1864,Highway,Sunny,Truck,Low,Weekend,85,62.1,2856.5,445.04
274,53,24,2701,Highway,Snowy,Truck,High,Weekend,78,35.15,1862.8,279.27
275,46,15,2212,Suburban,Sunny,Truck,Medium,Weekday,95,46.61,2144.2,349.98
276,56,16,2289,Highway,Sunny,Truck,Low,Weekend,98,63.9,3578.39,512.39
277,46,15,2230,Urban,Sunny,Truck,Medium,Weekday,80,30.99,1425.39,288.58
278,31,11,1940,Urban,Rainy,Truck,High,Weekend,92,21.14,655.2,128.85
279,31,14,2281,Urban,Sunny,Truck,Medium,Weekday,88,29.81,923.96,170.93
280,57,27,2896,Urban,Sunny,Truck,Medium,Weekday,73,29.93,1706.17,332.53
281,51,12,1994,Suburban,Sunny,Truck,Low,Weekend,91,49.51,2524.89,391.57
282,52,12,2020,Highway,Sunny,Truck,High,Weekend,56,49.52,2575.08,379.52
283,34,6,1703,Suburban,Rainy,Truck,Medium,Weekend,63,39.39,1339.24,223.64
284,30,13,2187,Suburban,Sunny,Truck,Medium,Weekday,79,45.38,1361.3,252.07
285,30,6,1812,Suburban,Sunny,Truck,Medium,Weekday,72,44.83,1344.76,209.13
286,48,16,2287,Urban,Snowy,Truck,High,Weekday,85,18.71,898.09,167.63
287,59,25,2830,Urban,Sunny,Truck,Medium,Weekend,96,30.91,1823.91,335.65
288,31,17,2389,Suburban,Sunny,Truck,Low,Weekday,97,47.33,1467.21,235.21
289,50,14,2113,Urban,Rainy,Truck,Low,Weekend,83,26.16,1308.02,222.74
290,41,12,1954,Urban,Rainy,Truck,High,Weekend,79,19.68,806.9,160.39
291,55,9,1854,Urban,Sunny,Truck,High,Weekday,70,24.13,1326.96,268.78
292,35,12,1989,Highway,Rainy,Truck,Low,Weekend,92,52.46,1836.02,300.94
293,52,27,2822,Urban,Sunny,Truck,Medium,Weekday,71,29.29,1523.22,269.12
294,33,9,1967,Urban,Snowy,Truck,Medium,Weekday,77,21.61,713.23,142.66
295,52,15,2279,Urban,Rainy,Truck,High,Weekend,67,19.45,1011.42,187.26
296,40,21,2537,Highway,Sunny,Truck,Medium,Weekday,84,61.7,2468.0,359.11
297,53,29,2938,Suburban,Sunny,Truck,Medium,Weekday,95,43.24,2291.5,366.33
298,56,16,2254,Urban,Sunny,Truck,Low,Weekday,86,32.72,1832.55,345.84
299,46,19,2502,Urban,Rainy,Truck,Medium,Weekday,73,24.77,1139.43,202.94
300,35,9,1858,Suburban,Rainy,Truck,Low,Weekday,56,41.21,1442.19,220.52
301,53,12,2011,Highway,Snowy,Truck,Low,Weekday,87,48.78,2585.14,432.52
302,34,19,2488,Suburban,Sunny,Truck,Low,Weekday,94,48.63,1653.5,266.45
