DRIVER_NUMBER,ROW_RANK,NAT,LEG_KEY,LEG_STOP_KEY,SHP_ID,ORD_NUM,STOP_NUM,STOP_TYPE,PWR_UNT_ID,TRL_UNT_ID,TRL_TYPE,ITINERARY_UPDATED,MILES_DRIVEN,FUEL_CONSUMPTION,AVERAGE_SPEED,TIME_AT_STOP,INCIDENTS,CUSTOMER_SATISFACTION
35436,5,2024-01-20 21:54:03,ST337288615_2,ST590933868_0_6,ST695470547,2552844491,5,D,53629,TA763882,Type A,2024-03-07 01:18:21,499.72,34.96,55.7,34,None,4
35436,2,2024-03-26 14:29:33,ST691328479_0,ST167893347_3_6,ST449860780,2122758240,1,D,58610,TA115405,Type B,2024-01-18 16:07:41,63.29,43.05,41.65,90,None,1
35436,2,2024-03-13 09:36:51,ST031132137_6,ST406239041_9_9,ST518344345,2201371691,4,NFR,51862,TA298527,Type B,2024-03-20 01:57:54,436.53,32.53,58.6,51,None,4
35436,7,2024-01-07 15:18:46,ST419257216_3,ST193008025_1_4,ST000166671,2134294973,5,NFR,54272,TA625735,Type B,2024-01-28 16:27:35,223.88,44.96,49.73,82,None,1
35436,6,2024-02-12 18:51:05,ST591977286_8,ST726281609_1_3,ST699550670,2819760032,5,NFR,59988,TA755666,Type B,2024-01-28 01:15:18,216.72,45.28,46.02,77,None,1
35436,3,2024-03-10 09:05:46,ST135148225_3,ST745241483_8_2,ST149096911,2313232759,2,NFR,54255,TA803667,Type A,2024-01-22 21:18:32,416.09,11.09,63.04,111,None,1
35436,1,2024-02-12 05:38:28,ST856666346_5,ST932056293_9_7,ST536251373,2516034020,2,P,55089,TA601339,Type A,2024-01-20 14:53:45,487.44,36.74,44.84,113,None,3
61344,5,2024-03-13 17:55:04,ST315671122_2,ST720005947_3_8,ST096846961,2578513569,1,D,51544,TA425564,Type A,2024-02-17 11:08:16,337.26,35.38,65.69,29,Minor Traffic Violation,4
61344,2,2024-02-06 00:41:31,ST131161991_1,ST325274488_1_6,ST665734243,2248832623,3,P,52826,TA762382,Type A,2024-04-03 14:02:28,454.47,38.05,53.56,91,None,4
61344,1,2024-02-17 21:48:50,ST757600774_7,ST914729740_0_0,ST994912186,2072286709,9,NFR,53845,TA511130,Type B,2024-02-21 02:50:28,145.15,13.2,55.71,116,None,4
61344,4,2024-03-27 17:49:28,ST839859788_1,ST983685018_3_7,ST493391596,2700101603,10,NFR,50405,TA786498,,2024-03-14 15:34:47,99.7,37.37,40.37,45,None,3
61344,10,2024-03-17 10:10:15,ST612316732_5,ST870564742_1_4,ST042739977,2650109306,8,NFR,50680,TA765438,Type B,2024-02-01 23:27:20,203.59,30.54,79.68,25,None,2
61344,1,2024-02-17 00:29:09,ST665755506_2,ST526116742_4_6,ST349600375,2327160818,9,D,55623,TA628746,Type B,2024-02-15 16:32:01,240.49,31.69,73.77,83,None,5
61344,10,2024-02-17 22:23:45,ST619882958_5,ST958402619_0_3,ST993771775,2582911043,8,D,53284,TA176942,Type A,2024-03-16 07:15:04,70.42,50.88,41.91,56,None,4
61344,9,2024-01-06 19:49:42,ST235789059_6,ST512964666_7_9,ST224878898,2718844823,6,D,55657,TA116368,Type A,2024-02-27 19:08:18,463.65,13.95,47.54,29,None,5
61344,5,2024-01-31 14:47:05,ST826904519_2,ST286642180_2_4,ST004983414,2273931385,3,P,50810,TA402923,Type B,2024-02-26 05:40:50,229.43,17.69,60.83,58,None,2
61344,6,2024-01-22 06:27:06,ST034874403_3,ST818465275_8_0,ST913862489,2112723561,10,P,54270,TA753236,Type B,2024-02-20 06:58:13,453.23,41.14,41.73,46,None,1
43110,4,2024-01-14 01:14:41,ST767089185_0,ST839892238_0_1,ST742513983,2110579462,7,D,59043,TA601172,,2024-04-04 19:02:59,127.37,20.98,53.51,106,None,2
43110,8,2024-04-08 18:30:44,ST274752579_1,ST180498311_8_9,ST793633203,2677768163,8,D,56007,TA038306,Type B,2024-01-28 17:51:38,160.37,20.54,40.43,67,None,4
43110,2,2024-02-05 10:44:55,ST159646121_8,ST738965364_1_6,ST152144765,2234142618,6,P,58979,TA827163,,2024-04-01 02:10:32,458.57,40.42,77.51,33,Accident,1
43110,6,2024-04-07 22:34:22,ST336850310_8,ST604370321_7_3,ST302654613,2017518941,7,NFR,57727,TA048703,Type B,2024-03-18 14:43:05,172.69,27.19,59.33,95,None,2
43110,3,2024-01-31 23:36:14,ST844046005_4,ST383751671_2_8,ST872217090,2460304808,10,NFR,55307,TA820599,Type B,2024-01-30 12:57:42,420.1,55.18,62.94,62,None,3
43110,4,2024-04-08 21:57:13,ST487667911_7,ST237758608_8_2,ST561842417,2661355080,8,P,53509,TA086633,,2024-01-16 01:09:04,176.21,43.35,46.64,33,None,4
43110,2,2024-01-20 00:58:12,ST674263678_5,ST223878969_8_2,ST068038859,2962551528,9,D,57441,TA305063,Type A,2024-03-27 01:12:34,361.57,47.55,64.63,47,None,2
43110,5,2024-02-08 18:23:32,ST369925186_8,ST163021212_1_1,ST514207913,2710238564,1,P,55492,TA814181,Type A,2024-02-16 10:44:23,381.94,43.0,77.11,57,None,2
43110,10,2024-01-27 03:27:19,ST630974166_2,ST264042509_1_3,ST418874683,2860371669,4,P,52256,TA607935,Type A,2024-01-13 15:01:15,249.92,14.96,62.31,86,None,3
43110,9,2024-02-29 06:19:41,ST522808536_1,ST715762208_6_0,ST494258370,2396222906,3,NFR,58248,TA286523,,2024-03-09 20:34:42,217.08,40.86,47.12,57,None,1
65892,4,2024-02-06 23:45:15,ST800141258_4,ST323412477_9_5,ST536925435,2525506190,9,NFR,53235,TA511398,Type B,2024-01-21 18:43:03,314.27,11.41,55.39,50,Mechanical Issue,3
65892,6,2024-03-26 22:45:00,ST423996453_0,ST790412773_9_7,ST844725207,2078616565,3,NFR,58867,TA044199,,2024-02-29 01:19:24,135.45,25.19,49.06,108,Mechanical Issue,3
65892,2,2024-03-03 13:50:52,ST211323558_4,ST936901639_6_2,ST742466584,2438132529,6,P,59095,TA781311,,2024-01-11 11:30:01,260.48,53.39,58.95,100,None,3
65892,8,2024-02-15 23:39:38,ST988653651_8,ST000365186_8_0,ST087749865,2043250646,1,P,55027,TA410993,,2024-02-20 03:27:51,64.04,33.6,46.94,62,None,4
65892,5,2024-01-02 11:26:53,ST904039103_5,ST774929170_1_0,ST201534764,2975815706,1,D,52980,TA885999,,2024-03-28 10:24:49,450.39,31.28,42.81,98,Minor Traffic Violation,3
65892,1,2024-01-05 18:36:26,ST724759007_1,ST225514640_5_0,ST732832423,2726368356,10,NFR,59561,TA656190,,2024-03-17 23:36:00,287.38,10.13,76.14,38,None,5
65892,8,2024-01-26 18:32:03,ST929378211_0,ST221336138_6_5,ST326109838,2241771071,10,NFR,57696,TA415302,Type A,2024-01-26 17:37:42,215.65,31.56,62.91,25,None,5
65892,3,2024-02-13 08:51:22,ST664537943_9,ST000686873_8_7,ST701275287,2926886165,8,P,52656,TA565275,Type A,2024-02-08 07:31:08,368.39,15.94,74.91,107,Accident,3
65892,6,2024-03-19 17:52:55,ST310692694_3,ST351509738_0_3,ST276420531,2399877742,7,NFR,52927,TA597460,,2024-03-17 13:36:29,201.02,46.95,74.98,52,Mechanical Issue,1
65892,7,2024-03-06 06:53:34,ST647026024_9,ST163023229_1_5,ST706123029,2513705388,1,P,56900,TA576578,Type B,2024-03-19 13:51:49,400.29,21.85,78.51,85,None,4
23575,2,2024-01-26 04:41:52,ST887531913_7,ST810450781_2_3,ST387269473,2900079503,10,P,57051,TA958230,Type B,2024-01-27 08:20:56,152.5,38.02,65.16,50,None,5
23575,7,2024-01-17 04:43:06,ST018981847_3,ST795738851_8_5,ST660724929,2748788279,4,D,51070,TA186272,,2024-04-06 16:15:08,290.2,54.04,76.44,95,Accident,1
23575,7,2024-01-08 01:36:22,ST057188633_1,ST138098939_0_4,ST654942789,2217417024,4,D,56235,TA707611,Type A,2024-02-04 19:54:58,303.47,22.23,42.8,45,None,4
23575,1,2024-03-19 00:49:41,ST513677358_7,ST604634268_4_9,ST737679135,2763607457,3,D,54779,TA928177,,2024-01-24 17:48:32,398.27,32.06,45.86,40,None,5
23575,7,2024-01-28 20:02:03,ST299371290_1,ST735186435_1_4,ST964380244,2338649704,1,D,56984,TA498830,Type A,2024-01-08 08:00:16,353.62,11.61,70.94,112,None,4
23575,9,2024-01-18 08:57:23,ST807570312_8,ST073809530_2_7,ST663730008,2060250871,1,NFR,56210,TA094941,,2024-01-06 13:10:55,234.09,44.71,66.62,112,None,5
23575,9,2024-03-19 21:38:33,ST634109024_2,ST765315313_4_5,ST749843601,2109839669,5,D,52488,TA547357,Type B,2024-04-01 12:10:36,475.22,16.68,56.05,39,None,2
23575,6,2024-03-22 16:09:03,ST512314911_6,ST738993899_5_3,ST777763758,2961340015,5,NFR,53138,TA504036,Type A,2024-01-11 05:07:46,105.72,42.99,53.09,43,None,2
23575,8,2024-01-09 00:06:40,ST188587100_7,ST806427515_9_4,ST365419378,2509042950,6,NFR,59633,TA520844,Type A,2024-02-18 05:32:03,215.75,56.07,48.71,35,None,2
23575,6,2024-04-06 18:08:27,ST079140048_1,ST860404445_4_8,ST319036677,2636779516,7,D,57486,TA795024,,2024-01-13 09:10:40,412.69,42.45,72.87,96,None,3
80072,5,2024-04-07 00:43:19,ST483837425_9,ST810076355_3_0,ST947552612,2968697253,5,NFR,58479,TA812803,Type A,2024-04-05 10:43:34,391.71,22.31,65.21,36,None,3
80072,6,2024-02-02 22:47:48,ST514268543_0,ST427790479_9_7,ST930359073,2194196894,2,NFR,58300,TA282972,Type A,2024-01-20 06:52:37,289.41,54.07,60.09,111,None,4
80072,2,2024-03-30 15:51:24,ST939016170_3,ST604554880_0_0,ST207391115,2360457037,3,D,52412,TA959809,Type A,2024-01-26 21:40:09,467.94,38.64,56.81,68,None,1
80072,2,2024-01-13 01:00:35,ST896259873_5,ST234751930_3_9,ST647653730,2551376881,1,P,58708,TA917437,,2024-01-11 09:01:24,184.46,58.63,46.73,21,None,4
80072,1,2024-02-26 22:12:47,ST661000898_6,ST910289138_9_0,ST239956841,2552125723,10,NFR,57404,TA551009,,2024-02-19 09:32:04,345.77,22.64,41.92,59,None,1
80072,8,2024-03-25 09:32:02,ST607213960_1,ST809532188_1_3,ST973545830,2820702403,5,NFR,55539,TA750509,Type B,2024-03-25 23:14:37,264.07,35.81,40.24,94,None,5
80072,3,2024-02-27 22:07:13,ST639604637_7,ST544930367_8_6,ST741568560,2459911485,4,NFR,58857,TA676541,Type B,2024-03-15 10:44:21,226.68,34.32,75.04,82,None,1
80072,5,2024-01-20 06:16:44,ST679522101_9,ST565353229_7_0,ST420947178,2973065699,4,NFR,58974,TA346118,Type A,2024-03-08 21:26:39,72.07,20.1,52.3,24,None,2
80072,6,2024-02-02 21:59:52,ST697655761_6,ST672143859_1_7,ST879857074,2980421549,2,NFR,54471,TA700943,,2024-03-17 02:09:06,219.12,25.25,68.25,91,None,4
80072,1,2024-03-18 07:28:57,ST121044243_2,ST402326381_3_8,ST172064843,2562165572,7,D,57162,TA312664,Type B,2024-03-03 14:42:01,463.53,34.74,53.57,109,None,4
60686,1,2024-04-08 20:12:38,ST426519992_9,ST489667118_2_9,ST662084392,2271774404,5,NFR,54162,TA954151,,2024-01-13 14:06:36,326.7,16.27,70.84,39,Minor Traffic Violation,2
60686,5,2024-01-26 02:26:41,ST974068222_0,ST985539305_7_6,ST345759601,2001903611,4,D,59586,TA812938,Type B,2024-02-26 16:50:51,257.99,29.21,66.24,79,None,2
60686,4,2024-01-18 16:36:16,ST237243649_7,ST496545623_5_4,ST070755155,2709325105,8,P,52968,TA421061,Type A,2024-01-23 20:53:26,411.05,51.4,56.89,52,None,2
60686,9,2024-01-31 21:30:08,ST007933883_2,ST553431089_4_3,ST261009777,2043561634,9,NFR,52358,TA331487,Type B,2024-02-09 04:50:07,179.18,30.16,74.43,47,None,2
60686,1,2024-01-01 04:12:43,ST733433272_6,ST402943968_0_3,ST026757327,2614814469,5,D,56748,TA403427,,2024-02-02 15:38:15,247.55,22.47,55.99,31,None,5
60686,1,2024-03-25 20:14:26,ST155939274_2,ST434553994_0_3,ST534766174,2279267543,4,P,55507,TA638779,,2024-02-18 01:38:48,320.52,44.45,40.11,107,None,2
60686,2,2024-04-04 09:07:22,ST181852368_5,ST659784380_5_3,ST082669835,2947781717,5,NFR,57396,TA504823,Type B,2024-01-24 03:13:10,302.83,42.71,42.31,106,None,5
60686,1,2024-03-18 21:53:47,ST022403026_1,ST141899518_8_8,ST276000867,2033143979,4,NFR,51474,TA565754,,2024-03-08 02:35:55,330.82,35.26,42.52,79,None,5
60686,6,2024-02-05 03:01:49,ST843759436_5,ST515423124_4_3,ST644354751,2832525785,3,D,57821,TA625674,Type A,2024-01-21 03:43:23,64.73,22.45,44.22,43,None,1
60686,9,2024-02-07 05:01:26,ST176481539_6,ST352789362_8_8,ST375060990,2458846494,2,P,54861,TA702339,Type A,2024-03-06 06:59:12,83.13,23.36,40.62,69,None,2
19331,3,2024-01-29 10:11:11,ST012119004_8,ST547710780_6_5,ST079885751,2286088809,4,D,58466,TA916160,,2024-03-16 16:41:49,91.87,22.07,44.37,84,None,1
19331,1,2024-03-21 19:31:48,ST486388210_2,ST021424269_6_7,ST704387640,2227004416,6,D,57901,TA652461,Type B,2024-02-12 08:27:54,223.23,23.86,59.99,52,None,2
19331,1,2024-01-27 21:38:28,ST802806995_5,ST992602912_5_5,ST884519982,2704916097,10,NFR,51900,TA837993,,2024-04-02 07:45:51,394.07,59.24,79.26,64,None,5
19331,6,2024-03-07 20:37:30,ST400023478_2,ST094391971_8_5,ST756928657,2679015679,6,D,59889,TA924461,Type A,2024-03-04 14:27:11,400.29,43.42,44.79,80,None,2
19331,4,2024-04-02 16:26:08,ST790026106_4,ST213434833_0_4,ST963176885,2499702812,8,P,50629,TA110738,Type B,2024-03-30 13:51:25,371.98,24.75,62.7,119,None,2
19331,10,2024-03-16 05:44:39,ST656410439_6,ST575362732_5_6,ST861828257,2256877155,2,NFR,51653,TA187605,Type B,2024-01-15 14:45:27,155.45,23.93,42.34,30,None,5
19331,9,2024-03-21 02:20:37,ST526723865_5,ST213391001_9_0,ST850604013,2298929139,9,P,59846,TA206875,Type A,2024-01-07 23:24:54,154.93,51.23,59.17,48,None,5
19331,10,2024-03-18 14:06:47,ST540383225_1,ST703201036_1_3,ST279602367,2707931896,7,D,51321,TA477774,Type A,2024-02-25 11:37:08,172.8,44.96,45.03,51,None,2
19331,3,2024-03-11 22:37:35,ST749097647_9,ST302888615_9_2,ST023481584,2714005904,4,P,53091,TA639204,Type A,2024-01-23 21:11:36,214.24,16.0,48.02,97,None,2
19331,2,2024-02-22 22:21:29,ST338113737_2,ST590803571_5_4,ST238694868,2765663857,7,D,59142,TA611256,Type B,2024-03-18 03:26:38,244.56,17.72,54.16,19,None,5
74309,2,2024-02-26 02:21:24,ST166412468_8,ST312496428_1_8,ST129809454,2759363275,3,P,58710,TA560085,,2024-01-14 03:00:52,293.19,26.64,73.88,87,None,2
74309,7,2024-02-29 20:51:03,ST022858135_2,ST256441131_5_1,ST360588040,2379779042,6,NFR,50090,TA002279,Type A,2024-01-09 10:23:16,66.1,34.32,50.11,59,None,2
74309,5,2024-03-19 18:44:15,ST742572831_0,ST672187820_1_6,ST050012480,2099460930,6,D,55212,TA498340,Type B,2024-01-15 01:43:23,225.87,29.07,57.07,25,None,4
74309,5,2024-03-06 00:40:49,ST804439267_9,ST247789171_3_3,ST200974183,2594196408,5,P,57822,TA027363,Type A,2024-01-10 06:23:48,356.53,51.64,67.96,79,None,4
74309,4,2024-02-01 14:59:27,ST943091665_3,ST762985322_2_7,ST082061178,2551326541,6,P,53050,TA912655,,2024-02-19 19:45:51,397.4,21.75,51.2,103,None,1
74309,1,2024-03-23 23:12:13,ST177888994_6,ST824276331_2_3,ST423927798,2045361810,6,D,59621,TA958343,Type A,2024-03-06 05:17:44,348.84,25.58,71.47,119,None,2
74309,2,2024-02-01 12:52:02,ST989286617_0,ST354572712_5_4,ST223839046,2932895090,7,NFR,57095,TA570491,,2024-03-29 00:15:43,342.35,34.86,40.26,82,None,2
74309,1,2024-03-02 12:53:03,ST421733548_9,ST074514968_5_7,ST742823315,2192764340,6,P,55439,TA208484,Type A,2024-03-11 08:53:34,90.19,46.79,69.26,71,None,5
74309,7,2024-03-27 17:05:36,ST990205722_2,ST009413544_9_8,ST761142189,2845348071,7,NFR,52419,TA806332,Type A,2024-02-15 20:08:49,347.0,26.09,53.64,45,None,4
74309,10,2024-02-17 21:18:40,ST468016877_2,ST516076248_2_6,ST799715179,2210065929,4,P,51989,TA455430,,2024-01-14 19:24:27,225.95,27.69,79.63,102,Minor Traffic Violation,1
10666,5,2024-01-30 01:56:20,ST949839547_9,ST132894582_8_0,ST976521515,2035959025,9,D,51452,TA754757,Type B,2024-01-18 13:28:59,222.4,43.13,52.67,77,Accident,4
10666,10,2024-02-05 03:16:25,ST010249578_1,ST508689966_5_0,ST082825305,2779368168,8,NFR,58085,TA599230,,2024-04-06 13:31:05,220.31,32.86,66.86,88,Minor Traffic Violation,2
10666,5,2024-03-31 06:58:10,ST385344371_5,ST464040103_7_3,ST953169384,2226835383,8,NFR,59163,TA950644,Type B,2024-03-13 16:06:26,140.12,23.82,79.39,97,None,5
10666,1,2024-01-26 10:41:52,ST171643576_3,ST449534134_2_7,ST205681621,2201261619,3,P,54023,TA300289,Type A,2024-03-31 18:58:23,335.1,33.8,78.63,40,None,3
10666,8,2024-04-01 06:29:59,ST942662211_0,ST785027936_7_1,ST920476646,2942974575,1,NFR,57295,TA332054,Type B,2024-01-20 18:09:05,397.93,56.97,68.64,118,None,5
10666,9,2024-01-17 09:30:07,ST479858175_8,ST862895990_3_0,ST188955724,2920282057,7,D,55676,TA124621,,2024-03-10 10:08:37,477.35,52.9,77.0,104,Minor Traffic Violation,3
10666,5,2024-03-01 22:27:21,ST574482312_8,ST951172012_2_6,ST439742583,2679744763,4,NFR,59379,TA319986,Type A,2024-02-16 12:38:55,150.24,57.38,46.81,26,None,3
10666,5,2024-03-28 15:34:29,ST950203313_4,ST927048938_7_5,ST290662924,2695819721,5,D,50819,TA661223,,2024-01-28 02:02:54,145.76,41.28,69.24,99,None,5
10666,10,2024-02-13 07:30:08,ST856651503_3,ST713975049_6_9,ST425504854,2427633895,8,NFR,50266,TA427885,,2024-03-08 07:32:20,133.34,29.79,72.79,92,None,1
10666,6,2024-01-01 03:42:47,ST616130480_8,ST282790361_8_1,ST904886563,2444129910,7,NFR,54631,TA462161,,2024-03-11 20:18:19,316.32,55.01,57.69,72,None,3
55742,7,2024-03-15 18:07:15,ST619052989_1,ST970247265_1_6,ST497513474,2590685383,4,P,59302,TA656418,Type A,2024-01-09 19:52:49,123.32,56.7,61.04,34,None,5
55742,9,2024-01-27 22:57:24,ST105022448_9,ST237440721_7_9,ST172498055,2725633569,8,NFR,54627,TA302408,Type B,2024-02-15 13:38:04,131.77,48.44,64.77,63,None,4
55742,6,2024-04-05 03:32:26,ST974998069_9,ST329385222_4_0,ST899915051,2252293717,9,NFR,52946,TA251575,,2024-02-04 12:40:54,398.64,12.11,73.75,46,None,2
55742,7,2024-01-11 19:31:38,ST411908246_3,ST849369995_8_0,ST139345729,2356231409,2,NFR,50853,TA021751,,2024-02-19 14:20:20,349.2,34.09,47.98,28,None,3
55742,7,2024-02-09 06:58:12,ST120415256_8,ST428038791_9_3,ST943461854,2693466581,3,P,59911,TA662692,Type B,2024-01-12 15:54:08,433.41,19.19,51.51,69,None,4
55742,9,2024-04-08 01:29:21,ST431438639_3,ST056473028_7_5,ST300180527,2305260364,6,D,59698,TA565615,Type A,2024-03-20 06:48:50,159.68,40.12,58.31,66,Accident,2
55742,4,2024-03-10 20:05:32,ST191618752_7,ST947522367_4_1,ST365747578,2437182964,8,D,51469,TA152348,Type B,2024-01-10 14:12:50,413.21,42.09,65.99,47,None,1
55742,5,2024-01-24 03:32:22,ST072387209_7,ST022826785_4_4,ST280316234,2153933722,7,P,58078,TA751853,Type A,2024-01-06 16:11:36,159.66,44.23,52.51,93,None,2
55742,1,2024-02-10 04:15:03,ST973660100_7,ST338083607_5_4,ST166028869,2424280594,9,P,55384,TA141548,Type B,2024-01-13 07:49:27,490.12,32.56,63.0,72,None,1
55742,1,2024-04-08 04:59:10,ST620357851_3,ST684004322_5_7,ST898734798,2122885840,9,P,58931,TA596617,Type B,2024-02-26 12:43:10,256.77,24.85,56.66,116,None,4
63842,5,2024-03-30 22:49:52,ST399778834_2,ST168423207_3_0,ST605091871,2252796924,2,P,54726,TA323216,,2024-02-12 00:22:32,213.96,24.85,43.89,106,None,2
63842,4,2024-01-19 16:36:59,ST677664402_5,ST592339351_8_9,ST918435486,2992864834,5,NFR,52625,TA837241,,2024-03-25 14:49:31,436.52,26.76,43.71,88,None,1
63842,5,2024-01-11 18:01:02,ST693323323_3,ST275388715_9_2,ST248495930,2866586910,2,NFR,51006,TA010980,,2024-03-01 09:14:45,51.72,34.73,64.61,37,None,2
63842,3,2024-02-11 19:43:36,ST549833060_0,ST187240412_1_4,ST035345061,2493724800,6,P,55586,TA764709,,2024-02-25 06:41:37,88.84,24.19,40.26,112,None,4
63842,7,2024-03-06 23:56:38,ST894488893_4,ST268885438_1_3,ST676784023,2249093629,4,NFR,56209,TA311410,Type B,2024-03-29 02:43:14,385.15,47.86,77.69,93,None,3
63842,6,2024-02-13 09:09:46,ST818665208_3,ST491807660_2_6,ST791089840,2311940917,1,P,59598,TA759921,,2024-02-01 11:21:48,351.83,17.43,46.95,85,None,5
63842,1,2024-02-04 02:11:05,ST013231251_3,ST387413491_0_0,ST126165124,2468748806,7,P,56410,TA647745,,2024-01-09 05:21:08,147.06,29.45,40.48,56,Mechanical Issue,3
63842,9,2024-03-01 00:33:05,ST658415730_9,ST872464831_5_9,ST153825516,2835041812,4,P,59405,TA469837,,2024-03-24 13:28:38,98.53,15.01,59.98,35,None,1
63842,8,2024-01-28 07:57:54,ST820390326_4,ST078329025_7_2,ST305516228,2215854221,1,D,51084,TA074077,Type A,2024-01-11 18:59:30,308.92,33.01,53.21,82,Minor Traffic Violation,1
63842,5,2024-01-17 12:20:59,ST727649881_5,ST809925333_0_0,ST293335327,2816659126,6,P,50893,TA499841,Type B,2024-03-02 16:16:08,326.33,29.3,72.54,74,None,4
63084,6,2024-01-05 16:52:57,ST822906294_9,ST444062194_3_4,ST003574911,2339768524,1,P,56339,TA254722,Type B,2024-03-20 21:23:27,162.02,50.49,63.47,53,None,4
63084,6,2024-02-03 04:00:14,ST715474721_4,ST787591121_7_7,ST155585992,2362929552,2,P,51697,TA949759,,2024-01-03 15:57:13,271.89,40.18,48.01,39,None,2
63084,6,2024-01-06 12:17:00,ST453119692_4,ST906700118_7_2,ST473787637,2697619253,6,NFR,55907,TA958546,Type A,2024-04-08 06:00:56,251.59,15.51,69.66,23,None,1
63084,1,2024-01-31 21:11:19,ST805535954_8,ST068133242_3_4,ST597516091,2124969896,1,P,57610,TA581993,,2024-01-16 01:58:06,394.21,20.21,44.34,84,None,3
63084,3,2024-01-06 10:15:28,ST387464376_8,ST558613732_2_7,ST282981906,2250800066,7,D,51223,TA674359,,2024-01-31 09:01:10,289.34,33.01,59.34,25,None,2
63084,8,2024-01-16 07:15:43,ST075837491_2,ST015377299_3_4,ST031291957,2782576786,9,P,59908,TA213381,Type B,2024-01-23 05:58:25,139.73,32.8,48.29,48,None,4
63084,3,2024-03-14 15:42:10,ST494650653_6,ST470047019_0_2,ST539188845,2917090291,8,NFR,55244,TA094979,,2024-02-04 12:50:47,479.84,59.59,64.08,51,None,4
63084,1,2024-01-07 12:37:53,ST415684628_1,ST430406228_8_3,ST353818996,2497444847,4,NFR,53489,TA369067,Type B,2024-01-04 23:04:31,402.42,10.86,62.2,49,Accident,5
63084,5,2024-03-09 17:07:28,ST324445019_6,ST340727991_4_6,ST867527849,2385337359,7,NFR,53668,TA880872,Type B,2024-02-22 13:53:45,410.11,23.85,56.3,18,None,1
63084,9,2024-03-09 09:30:29,ST662796259_7,ST601907394_8_6,ST856178044,2781807636,1,NFR,58815,TA237002,Type A,2024-03-29 07:05:31,299.1,24.25,44.97,114,Accident,5
23225,4,2024-03-20 19:16:01,ST691197085_6,ST405597787_5_0,ST716741608,2089416074,8,D,59552,TA885276,,2024-01-13 02:28:34,200.1,32.49,42.88,111,None,4
23225,10,2024-03-30 14:56:43,ST994630613_2,ST732166371_1_7,ST019590754,2644150735,3,NFR,56995,TA819472,Type A,2024-02-09 19:46:07,121.69,21.97,46.61,49,None,1
23225,1,2024-01-27 05:37:34,ST258564001_2,ST161311458_5_8,ST535548660,2256909973,7,NFR,59674,TA863415,,2024-02-09 17:38:48,117.07,34.81,64.07,30,Mechanical Issue,5
